# Wallpaper catalog used by the installer.
# Fields: file, title, place, time zone, note, fact, light.
# Keep the captions and place facts short and checkable.
#
# file	title	place	zone	note	fact	light
place-hardangervidda.png	Hardangervidda, Norway	Hardangervidda, Norway	Europe/Oslo	A snow plateau under a low moon, wind carved ridges running to the horizon.	It is the largest high mountain plateau in Europe, and Europe's last big herd of wild reindeer crosses it.	night
place-atacama.png	Atacama Desert, Chile	Atacama Desert, Chile	America/Santiago	The Milky Way standing over a dry salt basin, mountains low on the horizon.	Parts of it have gone decades without measurable rain, which is why the largest telescopes on earth are built there.	night
place-saovicente.png	Cabo de Sao Vicente, Portugal	Cabo de Sao Vicente, Portugal	Europe/Lisbon	A lighthouse beam sweeping out over the Atlantic from the top of a dark cliff.	Roman writers put the end of the world here and believed the sun went into the sea hissing. Its light is one of the strongest in Europe.	night
place-sumava.png	Sumava, Czechia	Sumava, Czechia	Europe/Prague	Spruce trunks going up out of frame under a star field, snow between them.	With the Bavarian Forest across the German border it makes the largest unbroken stretch of forest in central Europe.	night
place-ergchebbi.png	Erg Chebbi, Morocco	Erg Chebbi, Morocco	Africa/Casablanca	Moonlit dune ridges running in parallel curves, the crests bright and the flanks black.	The dunes reach about a hundred and fifty metres and move enough between years to be measured.	night
place-causeway.png	Giant's Causeway, Northern Ireland	Giant's Causeway, Northern Ireland	Europe/London	Basalt columns stepping down into the sea, the water gone to mist in a long exposure.	There are around forty thousand of them, mostly hexagons, left where a lava flow cooled and cracked.	night
place-yangshuo.png	Yangshuo, China	Yangshuo, China	Asia/Shanghai	Karst peaks standing out of river mist, each one paler than the one in front.	This stretch of the Li River is the landscape printed on the back of the twenty yuan note.	dawn
place-glencoe.png	Glencoe, Scotland	Glencoe, Scotland	Europe/London	First light on the ridges above a glen, the floor of it still dark.	The glen is what is left of a supervolcano that collapsed into its own magma chamber around four hundred and twenty million years ago.	dawn
place-uyuni.png	Salar de Uyuni, Bolivia	Salar de Uyuni, Bolivia	America/La_Paz	A film of water on a salt flat holding the whole sky, horizon somewhere in the middle.	It is the largest salt flat on earth and flat enough that satellites use it to calibrate their altimeters.	dawn
place-uluru.png	Uluru, Australia	Uluru, Australia	Australia/Darwin	The rock at last light, the desert around it already going blue.	The red is iron in the surface of the sandstone that has oxidised. The colour is rust.	dusk
place-banaue.png	Banaue, Philippines	Banaue, Philippines	Asia/Manila	Flooded rice terraces stepping up a mountainside, each one holding the last of the light.	They were cut into the mountain by hand and are still watered from the rainforest above them.	dusk
place-hoh.png	Hoh Rainforest, Washington	Hoh Rainforest, Washington	America/Los_Angeles	Rain coming down through moss hung branches, everything green and wet.	It takes three to four metres of rain a year, and one spot inside it is marked as among the quietest places in the United States.	day
