# Every wallpaper in the set.
# Free to use, anywhere, no attribution required.
#
# The first seven fields come from `titles.tsv`; the last three are measured.
#
# Ten tab separated fields:
#
#   file       the image, in this directory
#   title      what the caption button says
#   place      the real place, or empty when there is not one
#   width      pixels
#   height     pixels
#   zone       IANA time zone for the place, or empty
#   note       what is in the picture. One sentence, present tense, no
#              adjectives doing work a noun could do.
#   fact       one true thing about the place, or `-` when there is none
#   light      the light in the picture: dawn, day, dusk, night, or empty
#              when it cannot be told
#   luminance  mean relative luminance, measured
#
# file	title	place	width	height	zone	note	fact	light	luminance
quiet-frost.png	Frost on the grass		1376	768		Close on frozen blades, everything else out of focus.	-		0.1008
quiet-lonetree.png	One tree in an open field		1376	768		A single tree with room around it and a plain sky behind.	-	day	0.5075
quiet-meadow.png	A meadow in summer		1376	768		Long grass and flowers, the light low and warm.	-	dusk	0.1384
quiet-rainleaves.png	Rain on leaves		1376	768		Water sitting on green leaves, close enough to see it hold.	-		0.0881
quiet-reeds.png	Reeds at the water's edge		1376	768		Reeds standing in still water with the far bank soft behind them.	-	dawn	0.2444
quiet-river.png	A river between hills		1376	768		A river running out of frame between two slopes.	-	day	0.1528
quiet-snowpine.png	Snow on the pines		1376	768		Snow held on dark branches, the air full of it.	-		0.1002
quiet-stream.png	A stream over stones		1376	768		Shallow water breaking over rounded stones.	-	day	0.1028
wild-bioluminescence.png	Vaadhoo, Maldives	Vaadhoo, Maldives	1376	768	Indian/Maldives	The water along the shoreline lit blue from inside it.	The light is made by single-celled plankton that flash when the water around them moves, so the glow follows the waves and your own footprints.	night	0.0458
wild-duststorm.png	A dust storm crossing the dunes		1376	768		A wall of dust moving across a dune field.	-	day	0.2039
wild-icecave.png	Vatnajokull, Iceland	Vatnajokull, Iceland	1376	768	Atlantic/Reykjavik	The inside of a glacier, the ice blue where it is thickest.	The caves are made each winter by meltwater draining through the ice, and most of them are gone by spring. They are never the same twice.	day	0.074
wild-lava.png	Kilauea, Hawaii	Kilauea, Hawaii	1376	768	Pacific/Honolulu	Fresh lava crossing dark rock, glowing along the cracks.	Hawaii does not change its clocks either, so for half the year it is two hours behind California and for the other half it is three.	night	0.0371
wild-storm.png	A storm over open grassland		1376	768		A storm cloud built up over flat country, rain visible under it.	-	dusk	0.0404
